model_year,2016,2014,2002,2012,2008,2008,2013,2021,2014,2017,2016,2019,2020,2013,2023,2018,2018,2017,2021,2004,2022,2020,2016,2008,2022,2015,2016,2009,2014,2013,2011,2018,2022,2018,2016,2020,2021,2017,2020,2012,2018,2016,2019,2018,2014,2008,2018,2016,2019,2018,2016,2022,2018,2018,2022,2015,2010,2019,2013,2015,2021,2016,2020,2017,2020,2017,2021,2022,2018,2016,2020,2019,2014,2014,2013,2020,2014,2021,2020,2022,2021,2023,2011,2015,2022,2008,2021,2019,2016,2011,2001,2020,2015,2007,2017,2014,2021,2023,2014
brand,Toyota,RAM,Ford,BMW,Mercedes-Benz,Lexus,Chevrolet,Mercedes-Benz,Ford,Ford,Audi,Chevrolet,Lexus,Audi,Porsche,Ford,Audi,Genesis,Ford,Hummer,Mazda,Land,Mercedes-Benz,Honda,Ford,Land,Ford,Toyota,Jeep,Porsche,BMW,Chevrolet,Jaguar,RAM,Mercedes-Benz,Mercedes-Benz,Porsche,BMW,Ford,Lexus,Ford,Lincoln,Nissan,Ford,BMW,Saturn,Cadillac,Audi,Kia,Land,Land,Land,Toyota,Mercedes-Benz,Mercedes-Benz,Mercedes-Benz,Chevrolet,Ford,Toyota,Cadillac,Chevrolet,Lexus,Lincoln,Chevrolet,Land,Mercedes-Benz,Mercedes-Benz,Ford,Nissan,Land,Toyota,Audi,Audi,Ford,Lexus,Mercedes-Benz,Mercedes-Benz,Ford,Maserati,Lincoln,Land,Chevrolet,BMW,Volkswagen,Dodge,Volkswagen,Dodge,Mercedes-Benz,Cadillac,RAM,Dodge,Lexus,Subaru,Volkswagen,Jeep,Lexus,Ford,Land,Chevrolet
model,Land Cruiser Base,ProMaster 2500 Window Van High Roof,Mustang GT,428 Gran Coupe i xDrive,SL-Class SL500 Roadster,RX 350 Base,Express 2500 Work Van,AMG G 63 Base,F-150 XLT,Fusion SE,A7 3.0T Premium Plus,Impala 1LT,LC 500 Base,S3 2.0T Premium Plus,911 Carrera S,Transit Connect XL,A6 2.0T Premium Plus,G80 3.3T Sport,F-250 Lariat,H2 Base,RX 350 Base,Rover Defender SE,G-Class G 550 4MATIC,Pilot EX-L,Expedition Limited,Rover LR2 Base,F-150 Lariat,FJ Cruiser Base,Wrangler Sport,911 Carrera S,M3 Base,Colorado Z71,F-PACE S,3500 Tradesman,S-Class S 63 AMG,AMG C 43 Base 4MATIC,911 Carrera,740 i,Bronco Outer Banks Advanced,LS 460 Crafted Line,F-150 XL,MKX Reserve,Rogue SV,F-150 XLT,535 i xDrive,Sky Red Line,XTS Luxury,A6 2.0T Sport,Stinger GT2,Rover Range Rover Supercharged LWB,Rover Range Rover Sport Supercharged,Rover Range Rover P525 Westminster,Sequoia Platinum,GLC 300 GLC 300,AMG G 63 4MATIC,C-Class C 300 4MATIC Sport,Camaro 2SS,F-250 Platinum,Tacoma Base,Escalade ESV Luxury,Corvette Stingray w/2LT,GX 460 Premium,Navigator Reserve,Suburban LT,Rover Range Rover 5.0L Supercharged,C-Class C 300 4MATIC Sport,E-Class E 400,F-150 Lariat,Armada Platinum,Rover Range Rover Evoque R-Dynamic HSE,GR86 Base,A3 2.0T Tech Premium,S5 3.0T Premium Plus,F-150 Lariat,LS 460 Base,AMG CLA 45 Base 4MATIC,SL-Class SL 550,F-150 Platinum,MC20 Base,Navigator Reserve,Rover Defender X,Corvette Stingray w/1LT,740 i,Golf GTI 2.0T SE 4-Door,Challenger SRT Demon,Jetta GLX VR6,Durango R/T,AMG G 63 Base,Escalade ESV Platinum,2500 SLT,Dakota SLT Quad Cab,NX 350 F SPORT Handling,Outback 2.5i Limited,GTI Base,Wrangler Unlimited Sahara,RX 350 F Sport,Expedition Timberline,Rover Defender X,Suburban 1500 LTZ
type,SUV,Van,Coupe,Sedan,Convertible,SUV,Van,SUV,Pickup,Sedan,Sedan,Sedan,Coupe,Sedan,Coupe,Minivan,Sedan,Sedan,Pickup,SUV,SUV,SUV,SUV,SUV,SUV,SUV,Pickup,SUV,SUV,Coupe,Coupe,Pickup,SUV,Pickup,Sedan,Sedan,Coupe,Sedan,SUV,Sedan,Pickup,SUV,SUV,Pickup,Sedan,Convertible,Sedan,Sedan,Sedan,SUV,SUV,SUV,SUV,SUV,SUV,Sedan,Coupe,Pickup,Pickup,SUV,Coupe,SUV,SUV,SUV,SUV,Sedan,Sedan,Pickup,SUV,SUV,Coupe,Sedan,Coupe,Pickup,Sedan,Sedan,Convertible,Pickup,Coupe,SUV,SUV,Coupe,Sedan,Hatchback,Coupe,Sedan,SUV,SUV,SUV,Pickup,Pickup,SUV,SUV,Hatchback,SUV,SUV,SUV,SUV,SUV
miles_per_gallon,13,15,16,27,18,18,12,13,17,23,25,28,19,22,22,24,25,20,20,10,25,17,13,18,20,22,18,17,21,20,14,20,21,12,19,20,20,22,21,16,20,21,26,20,20,22,18,25,20,18,22,18,13,25,13,24,16,17,21,16,17,15,18,22,18,25,22,20,14,24,24,29,18,18,19,24,19,20,24,18,17,15,20,25,13,22,14,13,17,11,15,24,26,24,18,24,17,18,16
premium_version,1,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,1,1,1,0,0,1,1,0,1,0,1,0,0,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1
msrp,84900,35000,26250,45000,100000,38000,30000,157000,31000,23000,68900,33995,92600,39400,116000,23460,62000,60500,55000,50000,45000,57900,123600,32000,67535,36450,40000,24000,23945,100000,61900,35000,75000,35000,143000,84000,99900,83000,45000,71900,28740,49000,28500,35000,60000,28100,60000,52500,52000,130000,85000,104000,62800,40000,157900,39000,31895,72000,22000,80000,65000,55000,82995,60000,100000,40000,62700,45000,61000,52000,29000,36300,61000,45000,72000,55000,104000,59745,210000,83960,85000,63900,80000,28900,84995,25000,63490,156450,90000,35000,25000,41000,31995,23000,38000,45900,70155,82000,60940
collection_car,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
